Voxel,Best_Alpha
"(14, 25, 49)",5.0
"(14, 25, 50)",5.0
"(14, 25, 51)",5.0
"(14, 25, 53)",5.0
"(14, 25, 54)",5.0
"(14, 25, 55)",5.0
"(14, 25, 56)",5.0
"(14, 26, 30)",5.0
"(14, 26, 31)",5.0
"(14, 26, 37)",5.0
"(14, 26, 38)",5.0
"(14, 26, 39)",5.0
"(14, 26, 40)",5.0
"(14, 26, 41)",5.0
"(14, 26, 42)",5.0
"(14, 26, 43)",5.0
"(14, 26, 44)",5.0
"(14, 26, 46)",5.0
"(14, 26, 47)",5.0
"(14, 26, 48)",5.0
"(14, 26, 49)",5.0
"(14, 26, 54)",5.0
"(14, 26, 55)",5.0
"(14, 26, 56)",5.0
"(14, 26, 57)",5.0
"(14, 27, 27)",5.0
"(14, 27, 28)",5.0
"(14, 27, 29)",5.0
"(14, 27, 30)",5.0
"(14, 27, 31)",5.0
"(14, 27, 32)",5.0
"(14, 27, 37)",5.0
"(14, 27, 38)",5.0
"(14, 27, 39)",5.0
"(14, 27, 40)",5.0
"(14, 27, 43)",5.0
"(14, 27, 44)",5.0
"(14, 27, 45)",5.0
"(14, 27, 46)",5.0
"(14, 27, 47)",5.0
"(14, 27, 48)",5.0
"(14, 27, 56)",5.0
"(14, 27, 57)",5.0
"(14, 27, 58)",5.0
"(14, 28, 26)",5.0
"(14, 28, 27)",5.0
"(14, 28, 28)",5.0
"(14, 28, 29)",5.0
"(14, 28, 30)",5.0
"(14, 28, 31)",5.0
"(14, 28, 38)",5.0
"(14, 28, 39)",5.0
"(14, 28, 44)",5.0
"(14, 28, 45)",5.0
"(14, 28, 46)",5.0
"(14, 28, 47)",5.0
"(14, 28, 48)",5.0
"(14, 28, 56)",5.0
"(14, 28, 57)",5.0
"(14, 28, 58)",5.0
"(14, 28, 59)",5.0
"(14, 29, 26)",5.0
"(14, 29, 27)",5.0
"(14, 29, 28)",5.0
"(14, 29, 29)",5.0
"(14, 29, 30)",5.0
"(14, 29, 31)",5.0
"(14, 29, 44)",5.0
"(14, 29, 45)",5.0
"(14, 29, 46)",5.0
"(14, 29, 47)",5.0
"(14, 29, 57)",5.0
"(14, 29, 58)",5.0
"(14, 29, 59)",5.0
"(14, 30, 26)",5.0
"(14, 30, 27)",5.0
"(14, 30, 28)",5.0
"(14, 30, 29)",5.0
"(14, 30, 30)",5.0
"(14, 31, 26)",5.0
"(14, 31, 27)",5.0
"(14, 31, 28)",5.0
"(14, 31, 29)",5.0
"(14, 31, 30)",5.0
"(14, 32, 28)",5.0
"(14, 32, 29)",5.0
"(14, 33, 37)",5.0
"(14, 34, 33)",5.0
"(14, 34, 34)",5.0
"(14, 34, 35)",5.0
"(14, 34, 36)",5.0
"(14, 34, 37)",5.0
"(14, 34, 38)",5.0
"(14, 34, 39)",5.0
"(14, 35, 33)",5.0
"(14, 35, 34)",5.0
"(14, 35, 35)",5.0
"(14, 35, 36)",5.0
"(14, 35, 37)",5.0
"(14, 35, 38)",5.0
"(14, 36, 33)",5.0
"(14, 36, 34)",5.0
"(14, 36, 35)",5.0
"(14, 36, 36)",5.0
"(14, 37, 33)",5.0
"(14, 37, 34)",5.0
"(14, 37, 35)",5.0
"(14, 38, 32)",5.0
"(14, 38, 33)",5.0
"(14, 38, 34)",5.0
"(14, 38, 35)",5.0
"(14, 39, 31)",5.0
"(14, 39, 32)",5.0
"(14, 39, 33)",5.0
"(14, 39, 34)",5.0
"(14, 39, 35)",5.0
"(14, 40, 31)",5.0
"(14, 40, 32)",5.0
"(14, 40, 33)",5.0
"(14, 40, 34)",5.0
"(14, 41, 31)",5.0
"(14, 41, 32)",5.0
"(14, 41, 33)",5.0
"(14, 42, 31)",5.0
"(14, 42, 32)",5.0
"(15, 17, 36)",5.0
"(15, 17, 37)",5.0
"(15, 17, 38)",5.0
"(15, 17, 39)",5.0
"(15, 17, 40)",5.0
"(15, 18, 37)",5.0
"(15, 18, 38)",5.0
"(15, 18, 39)",5.0
"(15, 18, 40)",5.0
"(15, 18, 41)",5.0
"(15, 18, 42)",5.0
"(15, 18, 43)",5.0
"(15, 18, 45)",5.0
"(15, 19, 38)",5.0
"(15, 19, 39)",5.0
"(15, 19, 43)",5.0
"(15, 19, 44)",5.0
"(15, 19, 45)",5.0
"(15, 19, 46)",5.0
"(15, 19, 47)",5.0
"(15, 19, 48)",5.0
"(15, 20, 43)",5.0
"(15, 20, 44)",5.0
"(15, 20, 45)",5.0
"(15, 20, 46)",5.0
"(15, 20, 47)",5.0
"(15, 20, 48)",5.0
"(15, 20, 49)",5.0
"(15, 20, 50)",5.0
"(15, 21, 44)",5.0
"(15, 21, 45)",5.0
"(15, 21, 46)",5.0
"(15, 21, 47)",5.0
"(15, 21, 48)",5.0
"(15, 21, 49)",5.0
"(15, 21, 50)",5.0
"(15, 21, 51)",5.0
"(15, 22, 30)",5.0
"(15, 22, 31)",5.0
"(15, 22, 32)",5.0
"(15, 22, 45)",5.0
